question,image_url,top1_name,top2_name,top3_name,compare_top1,compare_top2,compare_top3,chosen_top,chosen_name,pred_answer,evidence,raw_answer_text,hit_at
این فرد کیست و در چه زمینه ای فعالیت داشته است؟,https://th.bing.com/th/id/R.160f7eae6c078d2470d8ddaf9ac63852?rik=PAp6KjqSKQI7DQ&pid=ImgRaw&r=0,نیما یوشیج,نیما یوشیج,نادر ابراهیمی,بله,,,top1,نیما یوشیج,نیما یوشیج شاعر,نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.,"{
  ""predicted_option"": ""نیما یوشیج شاعر"",
  ""evidence"": ""نیما یوشیج، معروف به علی اسفندیاری و پدر شعر نو، در 21 آبان 1276 در یوش، استان مازندران، متولد شد. او به عنوان شاعر و نویسنده فعالیت می‌کرد و آثاری چون افسانه، ای شب، ققنوس، غراب و روجا از او به جا مانده است.""
}",1
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.f19cd7c574fb1ceb37d0dd7557333735?rik=lLL0kQFoooPrMA&pid=ImgRaw&r=0,علی دایی,رسول خادم,علیرضا بیرانوند,بله,,,top1,علی دایی,علی دایی,این تصویر متعلق به علی دایی است. این بیوگرافی برای اوست: علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است.,"{
  ""predicted_option"": ""علی دایی"",
  ""evidence"": ""این تصویر متعلق به علی دایی است. این بیوگرافی برای اوست: علی دایی، ورزشکار فوتبال، در تاریخ 1 فروردین 1348 (56 سال) در اردبیل متولد شده است.""
}",1
این چهره ی چه کسی است؟,https://tse3.mm.bing.net/th/id/OIP.jYgq1FpWPqXFzJozqYAbaAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,آرین سلیمی,امیر معماری,علی رحیمی کازرونی,بله,,,top1,آرین سلیمی,آرین سلیمی,آرین سلیمی، ورزشکار تکواندو، در تاریخ 25 آذر 1382 (21 سال) در کرمانشاه متولد شده است,"{
  ""predicted_option"": ""آرین سلیمی"",
  ""evidence"": ""آرین سلیمی، ورزشکار تکواندو، در تاریخ 25 آذر 1382 (21 سال) در کرمانشاه متولد شده است""
}",1
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.HWeitJoEEB6czPH9_vBFnAAAAA?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امیر عابدزاده,احمدرضا عابدزاده,محمدجواد محمدی,بله,,,top1,امیر عابدزاده,امیر عابدزاده، پرسپولیس,امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) در تهران، ایران متولد شده است، در تیم‌های ... پرسپولیس ... بازی کرده است.,"{
  ""predicted_option"": ""امیر عابدزاده، پرسپولیس"",
  ""evidence"": ""امیر عابدزاده، ورزشکار فوتبال، در تاریخ 6 اردیبهشت 1372 (32 سال) در تهران، ایران متولد شده است، در تیم‌های ... پرسپولیس ... بازی کرده است.""
}",1
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://th.bing.com/th/id/R.57c6d4b5dd95b0ab883305644766e509?rik=pe6okxuixqaihQ&pid=ImgRaw&r=0,رزیتا علی‌پور,الهه احمدی,حمیده عباسعلی,بله,,,top1,رزیتا علی‌پور,رزیتا علیپور، کاراته,رزیتا علی‌پور، متولد 15 تیر 1368، کاراته‌کار در سبک کومیته,"{
  ""predicted_option"": ""رزیتا علیپور، کاراته"",
  ""evidence"": ""رزیتا علی‌پور، متولد 15 تیر 1368، کاراته‌کار در سبک کومیته""
}",1
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,https://tse3.mm.bing.net/th/id/OIP.1SroD7i6k-t2T7z7T8ulsAHaE8?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,حامد حدادی,وانه خچومیان,نیما عالمیان,بله,,,top1,حامد حدادی,حامد حدادی ، بسکتبال,این تصویر متعلق به حامد حدادی است. این بیوگرافی برای اوست: حامد حدادی، ورزشکار بسکتبال,"{
  ""predicted_option"": ""حامد حدادی ، بسکتبال"",
  ""evidence"": ""این تصویر متعلق به حامد حدادی است. این بیوگرافی برای اوست: حامد حدادی، ورزشکار بسکتبال""
}",1
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse1.mm.bing.net/th/id/OIP.nU_OzOvZ6YmVGsrnEwkJfAHaFk?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,بهروز مکوندی,بهروز وثوقی,جاسم امیری,بله,,,top1,بهروز مکوندی,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است,"{
  ""predicted_option"": ""بهروز مکوندی، مسجدسلیمان"",
  ""evidence"": ""بهروز مکوندی، ورزشکار فوتبال، در تاریخ 23 اوت 1963 (61 سال) در مسجدسلیمان، ایران متولد شده است""
}",1
این فرد چه کسی است و در چه تیمی بازی کرده است؟,https://tse1.mm.bing.net/th/id/OIP.99bDP9MqeM01dUFJwcS5JQHaGL?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,زهره کودایی,سعید صادقی,ساره جوانمردی,بله,,,top1,زهره کودایی,زهره کودایی سپاهان,زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.,"{
  ""predicted_option"": ""زهره کودایی سپاهان"",
  ""evidence"": ""زهره کودایی، ورزشکار فوتبال، در تاریخ 3 آذر 1368 در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب‌آهن بازی کرده است.""
}",1
این فرد چه کسی است؟,https://th.bing.com/th/id/R.0041d3d9cef0a1d121c4a610b90e36cc?rik=e5XMOU%2bP0YtBKw&riu=http%3a%2f%2fwww.parvaresheafkar.com%2fwp-content%2fuploads%2f2018%2f07%2fReza-Yazdani-24.jpg&ehk=6pBqo35rfX9r5HqlOSJJk06OEYe57NejQEbzbs%2fMfiQ%3d&risl=&pid=ImgRaw&r=0&sres=1&sresct=1,رضا یزدانی,رضا یزدان‌دوست,حسین کریمی,خیر,خیر,خیر,none,,,,,0
این فرد چه کسی است و در چه رشته ای بازی میکند؟,https://tse1.mm.bing.net/th/id/OIP.UnmNcdG5ULdYoUDye-VChAHaFG?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رضا حقیقی,رضا صفایی,ایمان شوریابی,بله,,,top1,رضا حقیقی,رضا حقیقی فوتبال,رضا حقیقی، ورزشکار فوتبال، در تاریخ 12 بهمن 1367 (36 سال) در پیام خراسان متولد شده است,"{
  ""predicted_option"": ""رضا حقیقی فوتبال"",
  ""evidence"": ""رضا حقیقی، ورزشکار فوتبال، در تاریخ 12 بهمن 1367 (36 سال) در پیام خراسان متولد شده است""
}",1
این فرد چه کسی است و در کجا متولد شده است؟,https://th.bing.com/th/id/R.187bbebdf8a9c7f626a0337b6229ccec?rik=uKkLXodBbhlH9Q&pid=ImgRaw&r=0,فرشاد احمدزاده,ایمان شوریابی,سینا خادم‌پور,بله,,,top1,فرشاد احمدزاده,فرشاد احمدزاده ارومیه,فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ 1 مهر 1371 (32 سال) در ارومیه، ایران متولد شده است,"{
  ""predicted_option"": ""فرشاد احمدزاده ارومیه"",
  ""evidence"": ""فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ 1 مهر 1371 (32 سال) در ارومیه، ایران متولد شده است""
}",1
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,https://th.bing.com/th/id/R.70cd6788173c6370fe61bee178841b79?rik=vVEsG%2b4ek8FsVw&pid=ImgRaw&r=0&sres=1&sresct=1,علیرضا منصوریان,علیرضا منصوریان,سجاد انوشیروانی,بله,,,top1,علیرضا منصوریان,علیرضا منصوریان بالستیر گیلانگ,در تیم‌های پارس‌خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.,"{
  ""predicted_option"": ""علیرضا منصوریان بالستیر گیلانگ"",
  ""evidence"": ""در تیم‌های پارس‌خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.""
}",1
این استادبزرگ شطرنج در کجا متولد  شده است؟,https://tse3.mm.bing.net/th/id/OIP.y9VAAtWqiE2cGNB1H_2jXAHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,امامعلی حبیبی,محمدقلی بیگ طرشتی تهرانی,محمد بلبلی,خیر,خیر,خیر,none,,,,,0
نام و رشته ی ورزشی این فرد چیست؟,https://www.wwe.com/f/styles/talent_champion_xl/public/all/2019/12/Ariya_Daivari_Pro--2478ed8b72ef28afc706786f23e365a5.png,آریا داوری,آریا داوری,علی والی,بله,,,top1,آریا داوری,آریا داوری کشتی,آریا داوری، ورزشکار کشتی، در تاریخ 11 آوریل 1989 در پلیموث، مینه‌سوتا متولد شده است.,"{
  ""predicted_option"": ""آریا داوری کشتی"",
  ""evidence"": ""آریا داوری، ورزشکار کشتی، در تاریخ 11 آوریل 1989 در پلیموث، مینه‌سوتا متولد شده است.""
}",1
نام و سن این فرد چیست؟,https://tse3.mm.bing.net/th/id/OIP.O4akfyyFPkQpa0cF-ZwdhgHaEl?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی علیپور,علی کریمی,سعید شیرود قربانی,بله,,,top1,علی علیپور,علی علیپور 29 سال,علی علیپور، ورزشکار فوتبال، در تاریخ 20 آبان 1374 (29 سال) در قائم‌شهر، ایران متولد شده است,"{
  ""predicted_option"": ""علی علیپور 29 سال"",
  ""evidence"": ""علی علیپور، ورزشکار فوتبال، در تاریخ 20 آبان 1374 (29 سال) در قائم‌شهر، ایران متولد شده است""
}",1
فردی که در تصویر است چه کسی است؟,https://tse2.mm.bing.net/th/id/OIP.gvGKE6y8v7rzVLqEg-Q1ngHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی رحیمی کازرونی,علی شفیعی,حسن رحیمی,بله,,,top1,علی رحیمی کازرونی,,این تصویر متعلق به علی رحیمی کازرونی است. این بیوگرافی برای اوست: علی رحیمی کازرونی، ورزشکار هندبال.,"{
  ""predicted_option"": ""علی رحیمی کازرونی"",
  ""evidence"": ""این تصویر متعلق به علی رحیمی کازرونی است. این بیوگرافی برای اوست: علی رحیمی کازرونی، ورزشکار هندبال.""
}",1
نام و رشته ی ورزشی این فرد چیست؟,https://th.bing.com/th/id/R.27d5e77674dd8e33a13543d12cc74c14?rik=eki3Mdcb%2fEyL7Q&pid=ImgRaw&r=0,الهام فلاح,شیوا مقانلو,الهام شیخی,بله,,,top1,الهام فلاح,الهام فلاح والیبال,الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است,"{
  ""predicted_option"": ""الهام فلاح والیبال"",
  ""evidence"": ""الهام فلاح، ورزشکار والیبال، در تاریخ 25 فروردین 1373 (31 سال) شیراز در تیم ملی بزرگسالان ایران متولد شده است""
}",1
کدام گزینه درباره ی این فرد صحیح است؟,https://tse1.mm.bing.net/th/id/OIP.El10jtpn4kDl1xtsd8MSFQHaHI?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,علی انصاریان,محمدحسن انصاری‌فرد,کریم انصاری‌فرد,بله,,,top1,علی انصاریان,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,علی انصاریان، متولد 14 تیر 1356 در تهران، بازیکن فوتبال، بازیگر و مجری بود.,"{
  ""predicted_option"": ""این فرد علی انصاریان است و در تیم استقلال بازی کرده است."",
  ""evidence"": ""علی انصاریان، متولد 14 تیر 1356 در تهران، بازیکن فوتبال، بازیگر و مجری بود.""
}",1
این چهره ی چه کسی است و در کجا متولد شده است؟,https://tse2.mm.bing.net/th/id/OIP.uTkBFD_F0Uj8GWPZLaAyegHaER?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سردار آزمون,سردار آزمون,احسان علوان‌زاده,بله,,,top1,سردار آزمون,سردار آزمون گنبد کاووس,سردار آزمون، ورزشکار فوتبال، در تاریخ 11 دی 1373 (30 سال) در گنبد کاووس، ایران متولد شده است,"{
  ""predicted_option"": ""سردار آزمون گنبد کاووس"",
  ""evidence"": ""سردار آزمون، ورزشکار فوتبال، در تاریخ 11 دی 1373 (30 سال) در گنبد کاووس، ایران متولد شده است""
}",1
نام و رشته ی ورزشی این فرد چیست؟,https://tse4.mm.bing.net/th/id/OIP.yCtnWvn5riSF3HrY-wsCBAHaFa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,رامین رضاییان,رامین رضاییان,کاوه رضایی,بله,,,top1,رامین رضاییان,رامین رضاییان فوتبال,رامین رضاییان، ورزشکار فوتبال، در تاریخ 1 فروردین 1369 (35 سال) در سمسکنده علیا، ساری، مازندران، ایران متولد شده است.,"{
  ""predicted_option"": ""رامین رضاییان فوتبال"",
  ""evidence"": ""رامین رضاییان، ورزشکار فوتبال، در تاریخ 1 فروردین 1369 (35 سال) در سمسکنده علیا، ساری، مازندران، ایران متولد شده است.""
}",1
این چهره ی چه کسی است؟,https://th.bing.com/th/id/R.c2a19d01aaae453d47e53eee49d895f1?rik=Z2Z5Yj%2f3vNBkvA&pid=ImgRaw&r=0,رحمان احمدی,عاقل حبیبیان,قربان بردیف,بله,,,top1,رحمان احمدی,رحمان احمدی,این تصویر متعلق به رحمان احمدی است. این بیوگرافی برای اوست: رحمان احمدی، ورزشکار فوتبال، در تاریخ 8 مرداد 1359 (44 سال) در نوشهر، ایران متولد شده است.,"{
  ""predicted_option"": ""رحمان احمدی"",
  ""evidence"": ""این تصویر متعلق به رحمان احمدی است. این بیوگرافی برای اوست: رحمان احمدی، ورزشکار فوتبال، در تاریخ 8 مرداد 1359 (44 سال) در نوشهر، ایران متولد شده است.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse1.mm.bing.net/th/id/OIP.eH2W9QEttNzFORPGnT5qmAHaHJ?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,لاله اسکندری,لاله اسکندری,گوهر خیراندیش,بله,,,top1,لاله اسکندری,لیلا حاتمی مادر,لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد.,"{
  ""predicted_option"": ""لیلا حاتمی مادر"",
  ""evidence"": ""لاله اسکندری، متولد 9 دی 1354 در تربت‌حیدریه، استان خراسان رضوی، بازیگر، عکاس و نقاش ایرانی است که از سال 1378 فعالیت خود را آغاز کرد.""
}",1
نام این فرد چیست و در چه فیلمی ایفای نقش کرده است؟,https://tse3.mm.bing.net/th/id/OIP.wTv1ZDsK6QEbw3zhHMJdOAHaE7?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,سجاد انوشیروانی,سیامک انصاری,مهران مدیری,بله,,,top1,سجاد انوشیروانی,,این تصویر متعلق به سجاد انوشیروانی است. این بیوگرافی برای اوست: سجاد انوشیروانی، ورزشکار وزنه‌برداری.,"{
  ""predicted_option"": ""هیچ یک از گزینه‌ها"",
  ""evidence"": ""این تصویر متعلق به سجاد انوشیروانی است. این بیوگرافی برای اوست: سجاد انوشیروانی، ورزشکار وزنه‌برداری.""
}",1
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://tse1.mm.bing.net/th/id/OIP.moUrQ-zi0k6Tg4eKzpK9IwHaJM?r=0&rs=1&pid=ImgDetMain&o=7&rm=3,شهره آغداشلو,هنگامه قاضیانی,هوتن شکیبا,بله,,,top1,شهره آغداشلو,بازیگر جایزه امی,آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و برنده جایزه امی برای «خانه صدام» (1387) شده است.,"{
  ""predicted_option"": ""بازیگر جایزه امی"",
  ""evidence"": ""آغداشلو در مجموعه‌های تلویزیونی مانند «24» (1384)، «خانه صدام» (1387) و «گستره» (1394) نقش‌آفرینی کرده و برنده جایزه امی برای «خانه صدام» (1387) شده است.""
}",1
این فرد در چه زمینه ای فعالیت دارد و چه جایزه ای برده است؟,https://th.bing.com/th/id/R.8b4a52ba89961896d18613f35096e4b7?rik=lID6hxx8Fu7j7w&pid=ImgRaw&r=0&sres=1&sresct=1,سیمین بهبهانی,هنگامه قاضیانی,شهره آغداشلو,بله,,,top1,سیمین بهبهانی,ادبیات نامزد جایزه نوبل ادبیات,سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و ... بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود.,"{
  ""predicted_option"": ""ادبیات نامزد جایزه نوبل ادبیات"",
  ""evidence"": ""سیمین بهبهانی، معروف به سیمین خلیلی و نیمای غزل، در 28 تیر 1306 در تهران متولد شد. او به عنوان شاعر، نویسنده، معلم و غزل‌سرا فعالیت می‌کرد و ... بین سال‌های 1999 تا 2002 نامزد جایزه نوبل ادبیات بود.""
}",1
